date,ema10,ma30v60,bias10,bias20,biasv,minr,maxr,BBI,tag
2010-07-19,9.887874556965832e-05,-0.07683180892095987,-0.045892117989638756,-0.013330317246913484,-0.4417903201866536,0.04100476247043707,-0.2653751771860568,0.7878759030239806,0.12025413349663193
2010-07-20,0.0005086495414653057,-0.06992743453034977,-0.07539373007005054,-0.04516301511774661,0.5261996085478744,0.002829404205229003,-0.29231507872395557,-0.3224500271821563,0.12044124481878803
2010-07-21,0.0005759242364057713,-0.06216275063559451,-0.07908869794590026,-0.05042766643463961,-0.030441468888909737,0.0028576726328763285,-0.2992958283162371,0.051096696735591474,0.15887350324436406
2010-07-22,0.0006844544897142813,-0.05428598080040148,-0.08671510863974981,-0.06058090254133197,-0.30156449191973167,0.004354908413949075,-0.3092715938362115,0.45460143486224935,0.1305880049598643
2010-07-23,0.00023888898624634504,-0.0452072462661931,-0.05047855743194703,-0.025136405537608122,0.5388927657763702,0.040623649479738136,-0.2843283695834413,-0.330160613900622,0.12494903443418957
2010-07-26,8.912736621598561e-05,-0.03617470730993966,-0.0413789593817492,-0.016409300545243297,0.16687940560203396,0.0478707489777601,-0.27934429727628834,-0.09787630823243909,0.12358510648143871
2010-07-27,-9.290089225195344e-05,-0.02831669358402833,-0.028237323533243774,-0.004637943688804952,0.03767207284929315,0.059472756889731145,-0.2713652090414425,0.053370746914976674,0.15138166166496886
2010-07-28,-0.00010626092562229981,-0.019664519050244134,-0.027550313696732397,-0.0044413765921363976,-0.44355577186932554,0.058021120751748076,-0.27236354768400683,0.7088399048921943,0.1438012395734725
2010-07-29,-0.00017868756685764976,-0.009782678063092187,-0.022823278404885336,-0.0013684884669384091,-0.2563194619560807,0.06092439302771408,-0.27036687039887825,0.21293824575456877,0.12289548742433583
2010-07-30,-0.0004642484662647016,-0.0004996925479732184,0.0012071676241977463,0.02087400620129344,0.38291397512064695,0.0855911261815321,-0.2534027343809539,-0.31669040564111495,0.07968705242050987
2010-08-02,-0.001071178695713515,0.00817717001824314,0.054690014971666236,0.07294794274450449,1.9843259420458044,0.14361224693328017,-0.21349967230105632,-0.5939443502020316,0.09225279871549001
